Histogram1,Histogram2,Histogram3,Histogram4,Histogram5,Histogram6,Histogram7,Histogram8,Histogram9,Histogram10,Histogram11,Histogram12,Histogram13,Histogram14,Histogram15,Histogram16,Score
3748,10897,1615,1233,1402,9063,3829,3698,8158,2340,1225,1299,917,433,122,328,0
1135,12693,1412,198,164,217,4439,16266,11255,1509,287,330,937,843,56,9,0
5,343,4687,8416,1832,1579,2241,3166,5727,9430,6436,3193,1790,974,489,1442,2
0,1,9,78,380,1336,2204,3544,15354,17729,6928,2401,319,154,149,1164,1
0,20,1652,2090,1718,1272,1156,1284,1546,1660,1553,1208,1134,1501,3266,29247,-1
0,0,7,214,10190,31251,7933,368,222,139,259,378,560,212,17,0,1
13238,19780,8397,3603,474,350,345,210,108,61,73,61,72,103,156,3276,-1
1560,2360,10946,4486,2153,3160,3185,1381,2013,5783,6444,2309,899,482,635,3954,0
7,309,366,115,50,1210,11361,22895,10383,1019,164,132,170,905,459,2205,-1
0,0,0,0,0,0,4,123,1214,3577,6425,7151,7365,6221,5096,14574,0
628,2162,11002,10247,3201,609,908,1980,3907,5944,5904,3433,1263,262,94,206,0
2157,4337,4567,1893,4248,1423,969,1124,2074,2390,2587,2624,4030,6970,6138,4219,1
92,16156,30859,1355,513,1089,1337,223,44,68,14,0,0,0,0,0,-1
0,0,0,186,4132,27777,16933,993,105,126,151,182,358,298,333,176,-1
174,4270,2766,2906,2254,1173,1844,2904,2981,2101,2448,3919,5004,5521,5211,6274,0
1,1646,1322,671,498,1031,1584,1388,1414,1487,1837,2571,3625,5262,8186,17784,1
2146,8624,21425,4536,1699,1027,680,588,713,1062,2830,3096,1362,605,548,809,-1
12,336,455,154,72,1402,10742,22717,9794,999,206,176,216,1397,537,2535,-1
3,505,1605,1002,4284,13472,14028,10209,5986,104,43,40,49,57,92,271,2
161,7260,34708,8767,617,96,46,26,24,26,14,5,0,0,0,0,0
12,1584,1646,3650,29434,10513,1710,138,109,82,60,66,101,91,64,2490,0
0,0,19,19259,29419,1391,163,175,157,113,252,505,274,23,0,0,3
7574,6863,2654,6075,12521,8489,3230,858,593,759,658,414,213,186,216,447,1
1154,1807,1130,791,538,512,4428,27619,13060,708,3,0,0,0,0,0,1
1697,2967,318,430,1637,2603,11309,21626,4870,1208,927,484,168,52,10,1,3
0,0,0,140,10744,31520,7494,325,254,144,175,327,464,148,15,0,2
16,164,378,481,577,496,530,626,1284,3657,8729,11173,10018,5382,3576,3220,2
16,164,378,481,577,496,530,626,1284,3657,8729,11173,10018,5382,3576,3220,0
1,3509,2209,1338,3461,6242,7496,6617,6577,3922,1872,1085,1398,1078,806,3601,3
1,8451,17554,8384,4511,3042,2305,1603,1235,905,938,696,1082,404,119,520,3
28,2045,2196,19882,9676,4211,2795,2302,1721,1206,1038,786,651,529,500,2184,2
8,1216,876,343,254,314,366,495,737,1483,3646,7410,12927,16226,5223,226,1
258,2015,1313,1553,3128,11417,27052,2886,370,153,45,26,25,12,16,38,1
0,107,215,801,13686,24287,8873,1263,317,554,889,340,284,130,4,0,2
0,107,215,801,13686,24287,8873,1263,317,554,889,340,284,130,4,0,0
68,668,2152,4651,21442,13504,4316,1492,845,539,420,323,287,187,185,671,0
276,482,530,395,1395,4188,10115,18876,6280,1291,2796,3357,1029,242,200,298,1
0,27,754,1331,942,561,510,1527,10486,10135,5659,3744,3935,4569,2995,4575,-1
0,0,109,34855,15610,150,104,100,111,107,183,332,87,2,0,0,3
12,1132,19638,4171,2026,1512,1575,2669,5354,7548,3093,932,133,132,119,1704,1
5,984,18123,13344,2048,271,212,194,182,67,66,91,67,106,127,15863,0
1,5776,14621,3073,1406,1108,887,1889,10086,7645,3136,709,177,189,194,853,2
0,1,66,336,1473,3399,2204,1634,1436,2088,4091,5758,6844,7177,5574,9669,3
2,985,1701,1166,826,744,2188,20102,18405,2861,643,402,240,198,166,1121,1
0,1627,5549,4316,2854,1866,1495,1261,1835,2626,4993,8325,8235,4410,1034,1324,2
7,17172,2975,1642,711,853,1905,8991,11520,2202,400,300,231,323,269,806,0
0,0,61,707,4516,19942,23027,1974,77,76,80,117,215,513,422,23,2
40,47,138,213,404,777,1692,3672,10929,16089,10009,4753,1523,422,269,773,0
2606,9118,1138,371,226,189,3720,18944,13113,1323,218,231,470,83,0,0,1
0,17,530,4448,10532,8384,10353,8547,4340,1111,334,276,320,354,711,1493,1
198,541,289,2700,22288,11298,5159,3254,208,141,158,139,149,169,264,4795,2
160,1042,5445,14537,19222,7907,797,327,298,265,156,110,143,156,277,908,0
4,1597,1427,1110,1605,5417,10735,8073,9124,5029,2470,1705,1449,603,279,585,0
623,2841,2450,1516,5522,20484,11410,5688,542,145,184,185,101,57,2,0,0
8,1287,869,1126,443,169,111,115,128,653,2533,6487,11767,13970,8060,4024,-1
0,3808,12243,7147,4128,2661,1998,1546,1286,1165,1945,4455,4412,2731,974,1251,1
0,0,4,144,1545,4880,3008,1356,1493,3425,5197,5995,5772,5626,5032,8273,0
346,1702,979,1222,22171,19395,3987,409,275,206,276,292,60,42,43,345,2
187,113,87,352,583,873,1874,3390,3338,2210,3868,13300,16247,3778,82,25,2
4,2921,6258,2694,1548,1074,968,1225,5764,9961,9274,5187,2396,1040,419,1017,0
6,2079,28811,12229,3714,1512,931,988,639,348,141,141,83,40,33,55,0
6,2079,28811,12229,3714,1512,931,988,639,348,141,141,83,40,33,55,1
0,706,1017,1214,11076,21208,7072,6350,1006,87,74,90,86,109,139,1516,1
3056,3920,12518,23909,7652,596,99,0,0,0,0,0,0,0,0,0,1
1171,3119,4109,2484,2069,2247,3218,13195,11880,2174,553,968,916,839,1668,1140,2
24,104,2948,21418,18343,5697,818,536,383,262,202,157,177,160,151,370,1
0,199,600,1065,2069,2688,2077,1740,3944,8438,10246,7320,3772,1965,1489,4138,-1
13731,10733,3831,1411,1957,5996,1175,3035,4946,802,625,889,503,233,87,353,1
462,1447,1120,1952,25784,17941,2036,168,119,119,153,70,32,51,73,223,-1
0,2523,16806,3111,2307,2573,4340,7742,6862,2312,431,253,332,385,520,1253,0
0,2523,16806,3111,2307,2573,4340,7742,6862,2312,431,253,332,385,520,1253,1
684,866,481,2795,14327,25425,4729,343,303,305,277,271,442,378,119,5,0
16,511,3969,3093,2266,2630,12880,21251,2695,1330,394,142,92,60,48,373,1
28,1513,1355,900,666,13025,20679,7796,869,183,159,151,141,156,225,3904,1
0,2,9,63,346,1126,2126,3501,14976,17911,6785,3005,332,172,168,1228,1
784,1873,1107,523,632,2135,12525,22915,6993,511,361,254,195,139,156,647,0
0,360,265,81,74,1069,10273,17530,9028,5970,1228,1844,1032,259,408,886,0
5,1024,2220,1199,959,799,684,839,3259,8102,8651,6713,8042,5694,2114,1446,1
2987,16869,5071,3074,2487,3774,7238,5426,1204,271,154,206,303,365,463,1858,2
0,171,8130,36022,5233,1733,198,114,66,68,15,0,0,0,0,0,2
0,5192,5272,1253,657,486,566,998,1683,2967,4114,4830,4715,4189,4694,10134,1
185,11294,21417,1911,245,486,6583,5539,2025,788,793,402,80,2,0,0,-1
0,1,10,152,176,205,246,417,1639,3409,6633,9132,11386,9272,4240,4832,2
0,16,273,1310,4787,5644,4481,16157,11708,4778,1001,92,97,95,93,1218,3
0,0,25,312,4544,13439,10828,8786,6256,2139,977,729,477,412,352,2474,2
1,497,644,4243,6971,10329,10141,6418,3960,2339,1376,822,517,588,862,2042,0
0,13143,4811,4258,10647,15508,2758,120,66,46,38,40,29,17,31,238,2
0,13143,4811,4258,10647,15508,2758,120,66,46,38,40,29,17,31,238,0
3998,11417,28260,2273,818,790,282,223,143,128,113,98,169,364,580,651,0
891,7308,4105,5727,19980,10025,1480,271,161,193,157,7,2,0,0,0,0
3352,5485,1937,454,146,98,103,123,159,296,495,1023,2020,4083,7658,24318,0
1807,19521,20238,2439,1404,929,730,543,384,378,504,1197,1131,167,160,218,1
0,17,269,480,1708,2373,1457,1163,4022,11111,12185,7678,3918,1544,825,3000,0
0,0,111,186,397,720,1689,3765,11111,16123,9996,4667,1534,429,260,762,-1
15,423,23192,2474,568,530,461,423,364,418,1992,5863,5414,2761,1203,4206,-1
0,1216,818,1455,2658,11386,22941,7160,791,884,736,236,21,5,0,0,2
1069,1124,216,171,198,15714,32285,875,51,29,13,5,0,0,0,0,3
0,66,9236,3667,2037,1853,1386,1244,1285,1406,3931,6585,5927,4404,2880,5843,0
4,1215,643,3575,39021,4758,678,325,222,96,29,37,12,47,45,1043,0
2,4652,16835,8493,5024,3138,2215,1495,1205,1134,1594,2721,2291,668,106,177,1
1195,3342,7990,1465,1036,1978,1925,7334,13753,4907,909,272,666,835,685,3458,0
442,2363,836,909,1942,2920,9609,19667,3936,1878,2517,2408,997,319,247,760,1
0,357,3952,7245,3980,3199,1900,1268,877,676,647,594,543,561,759,25192,3
670,3279,1737,4190,10227,17690,6506,3722,1505,524,104,81,35,8,6,23,2
15,9462,34426,2632,1119,1075,1018,610,290,292,413,162,29,20,31,156,3
0,0,1,75,178,203,360,1274,7653,13238,9837,7324,5096,3201,2003,1307,0
142,809,27000,16654,1518,1290,1150,993,616,406,351,248,178,121,73,201,-1
0,0,446,6432,10518,10912,10588,3672,1392,683,467,444,420,497,867,4412,0
4,476,869,187,109,3130,11044,19515,9335,619,191,200,193,2117,1028,2733,2
0,0,65,27573,21969,491,171,138,177,164,340,567,95,0,0,0,1
548,665,913,2777,19924,20604,3007,989,579,434,362,264,111,199,249,125,0
1276,16298,1186,268,238,312,2592,14085,11512,1937,196,286,913,577,46,28,0
998,1658,2213,1526,1830,3640,4566,15922,10033,1909,1107,1787,1309,521,1591,1140,0
0,0,11,329,9744,26905,10997,623,430,182,110,318,462,351,940,348,3
0,92,708,155,179,476,4414,18402,15134,7476,1770,314,191,197,222,2020,2
0,2909,1831,1186,505,582,247,234,450,1163,3257,6036,8857,9621,7178,6251,1
0,5209,5985,1367,654,518,542,1029,1688,2702,3920,4554,4417,3977,4655,10533,0
0,5209,5985,1367,654,518,542,1029,1688,2702,3920,4554,4417,3977,4655,10533,3
50,4242,2028,3006,3857,2454,4373,17966,8524,3627,363,57,58,82,88,975,-1
2,1558,1401,1076,1695,5598,10756,8152,9180,4821,2454,1664,1425,584,267,579,3
0,0,10,297,3435,10897,10683,10087,6825,2884,1266,731,568,524,603,2940,3
1536,2204,2673,928,351,2994,11217,7844,1803,1486,4048,5021,3443,3573,1890,739,3
0,793,2651,972,536,447,574,718,1108,1838,5803,13766,14290,6103,1294,857,1
0,0,64,1800,18019,16640,4788,5939,1223,1002,718,183,249,263,248,614,0
899,3666,11177,25376,9173,874,164,92,41,40,43,59,64,43,25,14,0
0,4197,29074,12053,5637,240,115,89,80,60,46,28,37,30,22,42,2
2190,6709,2553,415,194,140,117,158,212,283,564,1342,2659,4378,7526,22310,0
373,1053,2189,18922,22611,1574,415,385,701,1341,1044,552,239,139,99,113,-1
1,436,799,92,174,5403,13177,16188,7825,2139,242,168,307,1728,428,2643,0
0,1667,1708,4490,13783,15507,11370,2625,490,106,4,0,0,0,0,0,-1
3,184,558,6613,28764,11713,2171,628,253,140,120,139,183,144,97,40,0
734,8003,19966,3121,246,742,5441,5416,3418,1727,1405,1067,387,76,1,0,1
568,1367,539,251,401,709,1601,3277,9584,14695,10025,4977,1745,523,356,1132,1
1047,1543,274,127,380,12738,34349,1170,37,28,28,14,8,2,2,3,-1
102,3244,1404,14819,4622,13408,10868,1346,341,142,11,0,0,0,0,0,3
4,121,5249,3038,2028,1636,4189,17324,13040,2597,429,183,187,154,174,1397,3
0,0,171,32988,16705,323,142,155,153,124,271,592,123,3,0,0,0
0,2486,3423,1422,1168,839,799,895,1489,3107,4553,5198,5282,4862,4797,11430,2
1,589,1377,1772,2917,2686,6205,18384,9241,5873,1008,117,118,112,118,1232,3
0,0,16,11408,31091,7161,221,86,86,108,242,713,577,40,1,0,0
557,222,169,544,674,932,1935,3174,2906,1963,5600,16607,13453,1502,31,38,3
164,1756,1629,1636,1560,2487,19654,9680,4947,2156,1482,298,309,321,366,3305,2
118,676,932,1133,1298,1258,1668,1981,2104,3452,7911,9206,9202,6439,2254,675,0
0,147,13303,5715,2901,1836,1521,1207,1216,1175,1963,4576,4632,3724,2662,5172,1
0,1,19,362,13522,31777,3506,149,142,136,792,839,377,127,1,0,0
0,133,8663,1980,688,907,2768,13152,12274,6034,2378,590,324,171,152,1536,3
55,2786,7493,32886,2179,781,421,284,192,176,157,149,120,167,206,2255,0
3994,3325,384,208,202,404,2410,20018,15007,5322,442,33,1,0,0,0,0
0,39,292,1129,2709,3090,6974,18133,10389,5869,1320,123,113,120,132,1318,2
1702,8975,6630,3684,1776,1363,1004,898,972,824,743,756,784,617,785,20237,0
1702,8975,6630,3684,1776,1363,1004,898,972,824,743,756,784,617,785,20237,2
0,1346,3575,2223,1505,1307,1457,7182,16023,6974,1528,1831,2535,1804,534,1926,3
0,0,0,170,4602,25758,16761,553,163,130,170,406,818,984,838,397,-1
0,246,1244,16639,27557,3409,151,152,172,400,980,726,72,2,0,0,-1
12176,8454,2990,8513,8582,5977,1729,577,806,760,416,237,197,171,130,35,1
23,318,257,2742,31083,5863,873,2246,4045,744,1245,984,965,332,30,0,0
1571,6972,1776,1567,3697,11713,2682,10708,4609,1349,1519,966,397,131,152,498,0
2303,3814,13094,4109,1733,1380,1302,4963,12702,5966,374,8,2,0,0,0,3
0,0,103,180,417,714,1694,3785,11247,16124,9902,4661,1499,405,264,755,0
18,2811,7429,6355,2270,1017,653,699,668,822,854,844,795,656,545,25314,1
1180,7700,14163,2733,2951,8640,8961,3469,406,137,190,255,268,266,177,254,2
0,332,789,145,119,3412,11200,17173,12555,1993,161,115,159,1414,809,1374,3
208,2211,1277,5542,17859,21524,2238,627,231,33,0,0,0,0,0,0,-1
0,5,381,119,1194,28080,15994,1850,2161,1603,320,43,0,0,0,0,0
0,36,3217,28305,12793,1108,378,429,672,922,865,555,245,121,123,1981,0
0,64,3224,21048,17393,1972,642,267,187,203,185,260,502,900,1476,3427,1
391,4675,2736,2598,2088,2117,3121,6469,8431,7922,5820,2534,797,359,172,77,0
1860,2937,6618,1932,4033,14416,12511,4714,459,209,363,475,524,408,182,109,1
6986,10421,11338,5963,1697,362,265,314,496,1390,2103,2073,1650,1102,1195,2952,2
380,2114,14507,25387,8436,381,311,199,35,0,0,0,0,0,0,0,0
114,1854,1090,2644,4594,17760,19643,2990,620,301,114,24,2,0,0,0,2
319,1957,1236,2745,4062,18002,8227,3764,2716,1350,3933,1777,213,1,3,2,1
0,939,1725,1947,2540,2499,6072,17926,9297,5608,1082,124,148,117,143,1583,-1
0,939,1725,1947,2540,2499,6072,17926,9297,5608,1082,124,148,117,143,1583,-1
11999,8434,2950,8571,8752,6018,1759,565,806,702,416,229,197,193,124,35,1
2716,5952,1788,1619,6796,9195,4597,10734,2492,1416,1459,685,206,51,92,509,2
0,1,61,996,5691,6125,7073,4680,2878,2051,1385,1156,1174,1275,2120,15084,1
37,30,29,133,630,3008,14450,23979,6340,1472,540,319,190,143,131,319,0
2,21,4,539,16771,29726,1907,155,124,113,216,1278,417,341,136,0,3
0,65,395,667,857,1062,12110,29204,5087,617,391,231,267,227,186,384,0
0,65,395,667,857,1062,12110,29204,5087,617,391,231,267,227,186,384,0
0,0,0,36,3846,25603,15830,697,289,397,656,979,1539,1453,386,39,2
12,153,1673,7245,21532,12406,4572,1302,606,452,299,260,197,166,202,673,2
816,1346,2476,1916,2028,3829,4587,15203,10251,1908,996,1784,1458,570,1425,1157,0
0,0,25,26688,22953,351,153,149,266,212,253,328,244,107,21,0,3
0,4,40,5981,30733,10195,2021,390,162,207,391,435,284,239,215,453,3
0,11,480,112,750,21476,17329,3178,3842,3160,964,346,85,17,0,0,0
3070,18013,4878,3252,3231,3957,6526,4316,900,266,181,219,268,343,479,1851,-1
1,1950,30415,14822,795,936,1129,1206,359,78,53,6,0,0,0,0,1
1,28,6930,9471,6441,4964,4119,4119,4288,5088,3602,1203,521,352,247,376,1
0,2,30,135,285,848,5555,21179,19431,1485,1452,1313,35,0,0,0,1
0,79,1390,355,231,197,1859,8160,9518,7620,6662,5925,3519,2309,1825,2101,-1
187,6872,38065,1482,763,1672,1930,442,112,92,66,20,6,4,13,24,-1
1256,2566,337,114,81,303,17935,27360,1517,86,43,26,12,16,15,83,0
0,0,0,1,21,48,49,474,2705,4380,5680,5529,5707,5342,5156,16658,1
0,0,15,217,1155,3395,2733,1720,2038,3840,6002,6554,6339,6194,5312,6236,1
0,11,3152,11121,3654,3285,1172,908,780,888,781,823,1465,3703,6641,13366,1
4380,7854,1491,843,681,455,487,480,562,1640,3285,3619,13056,10005,1162,307,0
0,2,23,330,1000,2282,3720,4102,6328,13274,8135,6538,3675,699,114,85,1
10,2657,3670,463,384,251,223,238,323,1067,2004,3051,4255,6044,8450,18660,1
0,0,113,532,1685,3473,2152,1575,1314,2172,3812,5826,7376,6528,5209,9983,1
19,1435,529,116,141,336,2666,6051,6235,7094,8256,7853,6588,3441,779,211,2
1,1564,13464,4584,2797,2201,2442,4323,3045,3602,3410,2285,2359,2464,1353,1856,1
3,1651,2728,1653,1739,3460,5171,6677,6005,6138,4680,2330,1470,2622,1471,3414,1
6375,19477,2344,1642,1477,1420,1956,2681,2811,2676,3709,2557,747,229,100,106,1
443,9237,5144,3354,3677,5621,10176,7053,5087,304,81,84,82,105,159,1143,0
0,0,11,951,16574,28870,3915,361,199,244,359,239,27,0,0,0,3
0,0,11,951,16574,28870,3915,361,199,244,359,239,27,0,0,0,1
314,1431,306,457,1924,3758,15569,14826,6095,3984,1587,1261,198,20,14,6,1
0,31,275,593,839,958,11963,29669,5141,605,376,240,275,212,182,391,1
2,242,908,1805,2999,2248,1496,1626,5893,10462,10093,5976,2595,1222,1084,3099,3
0,448,27960,1039,667,595,600,759,3276,6139,4286,1674,854,795,418,797,1
0,0,65,1789,18086,16537,4711,6094,1197,978,724,221,235,230,272,611,1
147,275,415,798,962,812,995,3354,6289,7208,6582,5398,4442,3834,3975,6264,2
2042,2982,21472,5021,2171,2230,2861,2176,1286,2481,2228,1181,451,261,319,2588,0
2042,2982,21472,5021,2171,2230,2861,2176,1286,2481,2228,1181,451,261,319,2588,0
129,3521,1158,1076,15457,23079,6638,244,38,29,26,18,20,38,54,225,1
